Client,Signal Type,Account Name,Account Type,Account Crm Id,Signal Recipient Name,Signal Recipient Email,Signal Recipient Crm Id,Account Observer Name,Account Observer Email,Account Observer Crm Id,Extra Field 1,Extra Field 2,Extra Field 3,Extra Field 4,Extra Field 5,Stakeholder Current Company,Stakeholder First Name,Stakeholder Last Name,Stakeholder Current Title,Stakeholder Time In Current Role,Stakeholder Current Email,Email Status,Previous Account Left,Previous Title,Link To Signal,Stakeholder Geography,Stakeholder City,Stakeholder State,Stakeholder Country,Signal Issue Date,Source,Number Of Roles Ago,Year Of Departure,Current Account City,Current Account State,Current Account Country,Current Account Industry,Current Account Headcount,Profile Source,Comment Summary,Comment Detail
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,SamsungDSonyApple,George Washington,Leigh Moore,Analyst,8 years,gmoore@sazerac.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-18,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - George Washington Leigh Moore,Analyst at Mumbai In","George Washington Leigh Moore has joined Mumbai In, 8 years ago as Analyst. They were previously Distillery Events Assistant at .
"
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Applicom123123,James,Anderson,Assistant,3 years,gmoore@sazerac.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-10,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Anderson,Assistant at Mumbai In","James Anderson has joined Mumbai In, 3 years ago as Assistant. They were previously Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,Applicomwert,Georgia,Solomons,COO,3 years,aberama@gmail.cm,active,,COO,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-29,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgia Solomons,COO at ","Georgia Solomons has left , 3 years ago as COO."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,AppleGate,Conan,Moore,CEO,7 years,conan@gmail.com,active,,COO,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Conan Moore,COO at ","Conan Moore has left , 7 years ago as COO."
AREA 51,Customers Moving Into Prospect Accounts,Active Customer,Active Customer,12341234,Sachin Tendulkar,sachin@gmail.com,123123,Sachin Tendulkar,sachin@gmail.com,123123,,,,,,IPL,James ewin,Flamingo,Analyst,8 years,reachabdulhannan@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-17,Pipeline Signals,1,2023,,,,,,Admin Page,"Customers Moving Into Prospect Accounts - James ewin Flamingo,Analyst at Mumbai In","James ewin Flamingo has joined Mumbai In, 8 years ago as Analyst. They were previously the Distillery Events Assistant at  . They were in this position 1 role(s) ago, and left in 2023."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,1222345,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,Applicom12312,James,Leigh Moore,Analyst,3 years,gmoore@gmail.com,active,12312,Distillery Events Assistant,https://www.linkedin.com/in/georgia-2a96081a6/,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Leigh Moore,Analyst at SAP","James Leigh Moore has joined SAP, 3 years ago as Analyst. They were previously Distillery Events Assistant at 12312.
"
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,1222345,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,Samsung23,James,Moore,Manager,8 years,aberama@gmail.cm,active,,Assistant,https://www.linkedin.com/in/georgia-2a96081a6/,,,,,2023-08-30,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Moore,Manager at SAP","James Moore has joined SAP, 8 years ago as Manager. They were previously Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,1222345,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,Ebay1212,Trevor,Anderson,Assistant,2 years,aberama@gmail.cm,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-07,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Trevor Anderson,Assistant at ","Trevor Anderson has left , 2 years ago as Assistant."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Apple123123,James test,Leigh Moore,Analyst,2 years,gmoore@sazerac.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/georgia-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James test Leigh Moore,Analyst at Target","James test Leigh Moore has joined Target, 2 years ago as Analyst. They were previously Distillery Events Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,1212Samsung34534543,James Bond amez,Gold,Developer,2,gmoore@sazerac.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Bond amez Gold,Distillery Events Assistant at ","James Bond amez Gold has left , 2 ago as Distillery Events Assistant."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Samsung3234r23412312121,James,Gold,Assistant,4 years,gmoore@sazerac.com,active,adsf,Assistant,https://www.youtube.com,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Gold,Assistant at Microsoft","James Gold has joined Microsoft, 4 years ago as Assistant. They were previously Assistant at adsf.
"
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Samsung3234r23412312,James,Gold,Assistant,4 years,gmoore@sazerac.com,active,adsf,Assistant,https://www.youtube.com,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Gold,Assistant at Microsoft","James Gold has joined Microsoft, 4 years ago as Assistant. They were previously Assistant at adsf.
"
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Samsung3234r234,James,Gold,Assistant,4 years,gmoore@sazerac.com,active,adsf,Assistant,https://www.youtube.com,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - James Gold,Assistant at Microsoft","James Gold has joined Microsoft, 4 years ago as Assistant. They were previously Assistant at adsf.
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicom121,Georgia,Anderson,CEO,4 years,reachabdulhannan123@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Georgia Anderson,Distillery Events Assistant at ","Georgia Anderson has left , 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfaerter7671212,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfaerter76712,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfaerter767,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfaerter121212,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfaerter,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,erwcdfa,adfasdf,Anderson,Analyst,4 years,gmoore@sazerac.com,active,dsfsadf,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - adfasdf Anderson,Distillery Events Assistant at dsfsadf","adfasdf Anderson has left dsfsadf, 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweq674532324234,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweq67,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweq,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweqwiy11,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweqwiy,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Lewis Hamilton,lewis@gmail.com,-,Lewis Hamilton,lewis@gmail.com,-,,,,,,Applicomqweqw,James,Leigh Moore,Manager,3 years,gmoore@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-02,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - James Leigh Moore,Distillery Events Assistant at ","James Leigh Moore has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Silicon,Simon,Cowell,Manager,3 years,simon@gmail.com,active,,Assistant,https://www.youtube.com,,,,,2023-08-21,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Simon Cowell,Assistant at ","Simon Cowell has left , 3 years ago as Assistant."
AREA 51,Stakeholders Being Hired In Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Flipkaert,Shawn,Marshall,COO,3 years,shawnmarshall@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-13,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Being Hired In Customer Accounts - Shawn Marshall,COO at Target","Shawn Marshall has joined Target, 3 years ago as COO. They were previously Distillery Events Assistant at .
"
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Hevo,Hamza,yusuf,COO,4 years,hamza@gmail.com,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Hamza yusuf,Distillery Events Assistant at ","Hamza yusuf has left , 4 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,GreenApple,Geovanni,Stevens,COO,8 years,aberama@gmail.cm,active,,Distillery Events Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-21,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Geovanni Stevens,Distillery Events Assistant at ","Geovanni Stevens has left , 8 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,000000,Tony Blair,tonyblair@gmail.com,16500084,Tony Blair,tonyblair@gmail.com,16500084,,,,,,Samsung,Leonard,Hofstader,Analyst,3 years,gmoore@sazerac.com,active,,COO,https://www.youtube.com,,,,,2023-08-16,Pipeline Signals,4,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Leonard Hofstader,COO at ","Leonard Hofstader has left , 3 years ago as COO."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,microfest,Bob,Flamingo,Manager,7 years,gmoore@sazerac.com,active,,Distillery Events Assistant,https://www.youtube.com,,,,,2023-08-09,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Bob Flamingo,Distillery Events Assistant at ","Bob Flamingo has left , 7 years ago as Distillery Events Assistant."
AREA 51,Customers Moving Into Prospect Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Panama Airlines,Georgia,Solomons,Manager,3 years,gmoore@gmail.com,active,,Assistant,https://www.linkedin.com/in/abdul-hannan-mujawar-2a96081a6/,,,,,2023-08-23,Pipeline Signals,1,2023,,,,,,Admin Page,"Customers Moving Into Prospect Accounts - Georgia Solomons,Manager at Target","Georgia Solomons has joined Target, 3 years ago as Manager. They were previously the Assistant at  . They were in this position 1 role(s) ago, and left in 2023."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Orange,Peter,Parker,Manager,2,gmoore@sazerac.com,active,,Assistant,https://www.youtube.com,,,,,2023-08-10,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Peter Parker,Assistant at ","Peter Parker has left , 2 ago as Assistant."
AREA 51,Stakeholders Leaving Customer Accounts,Active Customer,Active Customer,122343,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,Abdul Hannan Mujawar,abdulhannanm123@gmail.com,16500011,,,,,,Samsung & Qualcomm,Trevor,Gold,CEO,3 years,reachabdulhannan123@gmail.com,active,,Distillery Events Assistant,https://www.youtube.com,,,,,2023-08-14,Pipeline Signals,1,2023,,,,,,Admin Page,"Stakeholders Leaving Customer Accounts - Trevor Gold,Distillery Events Assistant at ","Trevor Gold has left , 3 years ago as Distillery Events Assistant."
AREA 51,Stakeholders Being Hired In Prospect Accounts,Active Customer,Active Customer,675675,Abdullah Ahmed,reachabdulhannan@gmail.com,435234523,,,,,,,,,New York Post,Jaime,Stevens,Assistant,7,jamie@gmail.com,active,,,https://www.pipedrive.com,,,,,2023-08-07,Pipeline Signals,5,2021,,,,,,Bulk Upload,"Stakeholders Being Hired In Prospect Accounts - Jaime Stevens,Assistant at SAP","Jaime Stevens has joined SAP, 7 ago as Assistant. They were previously  at ."
